=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  17,669 artists without images


  [1/17669] (0.0%) | Deezer: 0 | MusicBrainz: 0 | Not found: 1   
  [51/17669] (0.3%) | Deezer: 13 | MusicBrainz: 0 | Not found: 38   
  [101/17669] (0.6%) | Deezer: 21 | MusicBrainz: 0 | Not found: 80   
  [151/17669] (0.9%) | Deezer: 29 | MusicBrainz: 0 | Not found: 122   
  [201/17669] (1.1%) | Deezer: 52 | MusicBrainz: 0 | Not found: 149   
  [251/17669] (1.4%) | Deezer: 77 | MusicBrainz: 0 | Not found: 174   
  [301/17669] (1.7%) | Deezer: 100 | MusicBrainz: 0 | Not found: 201   
  [351/17669] (2.0%) | Deezer: 125 | MusicBrainz: 0 | Not found: 226   
  [401/17669] (2.3%) | Deezer: 158 | MusicBrainz: 0 | Not found: 243   
  [451/17669] (2.6%) | Deezer: 187 | MusicBrainz: 0 | Not found: 264   
  [501/17669] (2.8%) | Deezer: 212 | MusicBrainz: 0 | Not found: 289   
  [551/17669] (3.1%) | Deezer: 238 | MusicBrainz: 0 | Not found: 313   
  [601/17669] (3.4%) | Deezer: 269 | MusicBrainz: 0 | Not found: 332   
  [651/17669] (3.7%) | Deezer: 300 | MusicBrainz: 0 | Not found: 351   
  [701/17669] (4.0%) | Deezer: 320 | MusicBrainz: 0 | Not found: 381   
  [751/17669] (4.3%) | Deezer: 348 | MusicBrainz: 0 | Not found: 403   
  [801/17669] (4.5%) | Deezer: 381 | MusicBrainz: 0 | Not found: 420   
  [851/17669] (4.8%) | Deezer: 412 | MusicBrainz: 0 | Not found: 439   
  [901/17669] (5.1%) | Deezer: 439 | MusicBrainz: 0 | Not found: 462   
  [951/17669] (5.4%) | Deezer: 466 | MusicBrainz: 0 | Not found: 485   
  [1001/17669] (5.7%) | Deezer: 492 | MusicBrainz: 0 | Not found: 509   
  [1051/17669] (5.9%) | Deezer: 520 | MusicBrainz: 0 | Not found: 531   
  [1101/17669] (6.2%) | Deezer: 551 | MusicBrainz: 0 | Not found: 550   
  [1151/17669] (6.5%) | Deezer: 577 | MusicBrainz: 0 | Not found: 574   
  [1201/17669] (6.8%) | Deezer: 603 | MusicBrainz: 0 | Not found: 598   
  [1251/17669] (7.1%) | Deezer: 626 | MusicBrainz: 0 | Not found: 625   
  [1301/17669] (7.4%) | Deezer: 648 | MusicBrainz: 0 | Not found: 653   
  [1351/17669] (7.6%) | Deezer: 675 | MusicBrainz: 0 | Not found: 676   
  [1401/17669] (7.9%) | Deezer: 696 | MusicBrainz: 0 | Not found: 705   
  [1451/17669] (8.2%) | Deezer: 718 | MusicBrainz: 0 | Not found: 733   
  [1501/17669] (8.5%) | Deezer: 744 | MusicBrainz: 0 | Not found: 757   
  [1551/17669] (8.8%) | Deezer: 772 | MusicBrainz: 0 | Not found: 779   
  [1601/17669] (9.1%) | Deezer: 802 | MusicBrainz: 0 | Not found: 799   
  [1651/17669] (9.3%) | Deezer: 827 | MusicBrainz: 0 | Not found: 824   
  [1701/17669] (9.6%) | Deezer: 850 | MusicBrainz: 0 | Not found: 851   
  [1751/17669] (9.9%) | Deezer: 878 | MusicBrainz: 0 | Not found: 873   
  [1801/17669] (10.2%) | Deezer: 911 | MusicBrainz: 0 | Not found: 890   
  [1851/17669] (10.5%) | Deezer: 938 | MusicBrainz: 0 | Not found: 913   
  [1901/17669] (10.8%) | Deezer: 966 | MusicBrainz: 0 | Not found: 935   
  [1951/17669] (11.0%) | Deezer: 996 | MusicBrainz: 0 | Not found: 955   
  [2001/17669] (11.3%) | Deezer: 1019 | MusicBrainz: 0 | Not found: 982   
  [2051/17669] (11.6%) | Deezer: 1048 | MusicBrainz: 0 | Not found: 1003   
  [2101/17669] (11.9%) | Deezer: 1069 | MusicBrainz: 0 | Not found: 1032   
  [2151/17669] (12.2%) | Deezer: 1097 | MusicBrainz: 0 | Not found: 1054   
  [2201/17669] (12.5%) | Deezer: 1127 | MusicBrainz: 0 | Not found: 1074   
  [2251/17669] (12.7%) | Deezer: 1153 | MusicBrainz: 0 | Not found: 1098   
  [2301/17669] (13.0%) | Deezer: 1182 | MusicBrainz: 0 | Not found: 1119   
  [2351/17669] (13.3%) | Deezer: 1205 | MusicBrainz: 0 | Not found: 1146   
  [2401/17669] (13.6%) | Deezer: 1232 | MusicBrainz: 0 | Not found: 1169   
  [2451/17669] (13.9%) | Deezer: 1262 | MusicBrainz: 0 | Not found: 1189   
  [2501/17669] (14.2%) | Deezer: 1287 | MusicBrainz: 0 | Not found: 1214   
  [2551/17669] (14.4%) | Deezer: 1314 | MusicBrainz: 0 | Not found: 1237   
  [2601/17669] (14.7%) | Deezer: 1348 | MusicBrainz: 0 | Not found: 1253   
  [2651/17669] (15.0%) | Deezer: 1377 | MusicBrainz: 0 | Not found: 1274   
