=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  14,263 artists without images


  [1/14263] (0.0%) | Deezer: 0 | MusicBrainz: 0 | Not found: 1   
  [51/14263] (0.4%) | Deezer: 16 | MusicBrainz: 0 | Not found: 35   
  [101/14263] (0.7%) | Deezer: 33 | MusicBrainz: 0 | Not found: 68   
  [151/14263] (1.1%) | Deezer: 43 | MusicBrainz: 0 | Not found: 108   
  [201/14263] (1.4%) | Deezer: 60 | MusicBrainz: 0 | Not found: 141   
  [251/14263] (1.8%) | Deezer: 79 | MusicBrainz: 0 | Not found: 172   
  [301/14263] (2.1%) | Deezer: 96 | MusicBrainz: 0 | Not found: 205   
  [351/14263] (2.5%) | Deezer: 116 | MusicBrainz: 0 | Not found: 235   
  [401/14263] (2.8%) | Deezer: 135 | MusicBrainz: 0 | Not found: 266   
  [451/14263] (3.2%) | Deezer: 158 | MusicBrainz: 0 | Not found: 293   
  [501/14263] (3.5%) | Deezer: 176 | MusicBrainz: 0 | Not found: 325   
  [551/14263] (3.9%) | Deezer: 197 | MusicBrainz: 0 | Not found: 354   
  [601/14263] (4.2%) | Deezer: 212 | MusicBrainz: 0 | Not found: 389   
  [651/14263] (4.6%) | Deezer: 229 | MusicBrainz: 0 | Not found: 422   
  [701/14263] (4.9%) | Deezer: 247 | MusicBrainz: 0 | Not found: 454   
  [751/14263] (5.3%) | Deezer: 268 | MusicBrainz: 0 | Not found: 483   
  [801/14263] (5.6%) | Deezer: 285 | MusicBrainz: 0 | Not found: 516   
  [851/14263] (6.0%) | Deezer: 301 | MusicBrainz: 0 | Not found: 550   
  [901/14263] (6.3%) | Deezer: 319 | MusicBrainz: 0 | Not found: 582   
  [951/14263] (6.7%) | Deezer: 331 | MusicBrainz: 0 | Not found: 620   
  [1001/14263] (7.0%) | Deezer: 346 | MusicBrainz: 0 | Not found: 655   
  [1051/14263] (7.4%) | Deezer: 362 | MusicBrainz: 0 | Not found: 689   
  [1101/14263] (7.7%) | Deezer: 379 | MusicBrainz: 0 | Not found: 722   
  [1151/14263] (8.1%) | Deezer: 399 | MusicBrainz: 0 | Not found: 752   
  [1201/14263] (8.4%) | Deezer: 418 | MusicBrainz: 0 | Not found: 783   
  [1251/14263] (8.8%) | Deezer: 436 | MusicBrainz: 0 | Not found: 815   
  [1301/14263] (9.1%) | Deezer: 451 | MusicBrainz: 0 | Not found: 850   
  [1351/14263] (9.5%) | Deezer: 471 | MusicBrainz: 0 | Not found: 880   
  [1401/14263] (9.8%) | Deezer: 492 | MusicBrainz: 0 | Not found: 909   
  [1451/14263] (10.2%) | Deezer: 511 | MusicBrainz: 0 | Not found: 940   
  [1501/14263] (10.5%) | Deezer: 528 | MusicBrainz: 0 | Not found: 973   
  [1551/14263] (10.9%) | Deezer: 547 | MusicBrainz: 0 | Not found: 1004   
  [1601/14263] (11.2%) | Deezer: 569 | MusicBrainz: 0 | Not found: 1032   
  [1651/14263] (11.6%) | Deezer: 589 | MusicBrainz: 0 | Not found: 1062   
  [1701/14263] (11.9%) | Deezer: 612 | MusicBrainz: 0 | Not found: 1089   
  [1751/14263] (12.3%) | Deezer: 624 | MusicBrainz: 0 | Not found: 1127   
  [1801/14263] (12.6%) | Deezer: 644 | MusicBrainz: 0 | Not found: 1157   
  [1851/14263] (13.0%) | Deezer: 665 | MusicBrainz: 0 | Not found: 1186   
  [1901/14263] (13.3%) | Deezer: 681 | MusicBrainz: 0 | Not found: 1220   
  [1951/14263] (13.7%) | Deezer: 692 | MusicBrainz: 0 | Not found: 1259   
  [2001/14263] (14.0%) | Deezer: 709 | MusicBrainz: 0 | Not found: 1292   
  [2051/14263] (14.4%) | Deezer: 725 | MusicBrainz: 0 | Not found: 1326   
  [2101/14263] (14.7%) | Deezer: 745 | MusicBrainz: 0 | Not found: 1356   
  [2151/14263] (15.1%) | Deezer: 764 | MusicBrainz: 0 | Not found: 1387   
  [2201/14263] (15.4%) | Deezer: 786 | MusicBrainz: 0 | Not found: 1415   
  [2251/14263] (15.8%) | Deezer: 807 | MusicBrainz: 0 | Not found: 1444   
  [2301/14263] (16.1%) | Deezer: 830 | MusicBrainz: 0 | Not found: 1471   
  [2351/14263] (16.5%) | Deezer: 842 | MusicBrainz: 0 | Not found: 1509   
  [2401/14263] (16.8%) | Deezer: 858 | MusicBrainz: 0 | Not found: 1543   
  [2451/14263] (17.2%) | Deezer: 874 | MusicBrainz: 0 | Not found: 1577   
  [2501/14263] (17.5%) | Deezer: 897 | MusicBrainz: 0 | Not found: 1604   
  [2551/14263] (17.9%) | Deezer: 913 | MusicBrainz: 0 | Not found: 1638   
  [2601/14263] (18.2%) | Deezer: 934 | MusicBrainz: 0 | Not found: 1667   
  [2651/14263] (18.6%) | Deezer: 953 | MusicBrainz: 0 | Not found: 1698   
