=== GigRadar Artist Image Enrichment ===

Loading artists without images...
  16,422 artists without images


  [1/16422] (0.0%) | Deezer: 0 | MusicBrainz: 0 | Not found: 1   
  [51/16422] (0.3%) | Deezer: 8 | MusicBrainz: 0 | Not found: 43   
  [101/16422] (0.6%) | Deezer: 16 | MusicBrainz: 0 | Not found: 85   
  [151/16422] (0.9%) | Deezer: 31 | MusicBrainz: 0 | Not found: 120   
  [201/16422] (1.2%) | Deezer: 42 | MusicBrainz: 0 | Not found: 159   
  [251/16422] (1.5%) | Deezer: 54 | MusicBrainz: 0 | Not found: 197   
  [301/16422] (1.8%) | Deezer: 66 | MusicBrainz: 0 | Not found: 235   
  [351/16422] (2.1%) | Deezer: 76 | MusicBrainz: 0 | Not found: 275   
  [401/16422] (2.4%) | Deezer: 94 | MusicBrainz: 0 | Not found: 307   
  [451/16422] (2.7%) | Deezer: 107 | MusicBrainz: 0 | Not found: 344   
  [501/16422] (3.1%) | Deezer: 126 | MusicBrainz: 0 | Not found: 375   
  [551/16422] (3.4%) | Deezer: 144 | MusicBrainz: 0 | Not found: 407   
  [601/16422] (3.7%) | Deezer: 156 | MusicBrainz: 0 | Not found: 445   
  [651/16422] (4.0%) | Deezer: 167 | MusicBrainz: 0 | Not found: 484   
  [701/16422] (4.3%) | Deezer: 177 | MusicBrainz: 0 | Not found: 524   
  [751/16422] (4.6%) | Deezer: 191 | MusicBrainz: 0 | Not found: 560   
  [801/16422] (4.9%) | Deezer: 201 | MusicBrainz: 0 | Not found: 600   
  [851/16422] (5.2%) | Deezer: 212 | MusicBrainz: 0 | Not found: 639   
  [901/16422] (5.5%) | Deezer: 226 | MusicBrainz: 0 | Not found: 675   
  [951/16422] (5.8%) | Deezer: 235 | MusicBrainz: 0 | Not found: 716   
  [1001/16422] (6.1%) | Deezer: 246 | MusicBrainz: 0 | Not found: 755   
  [1051/16422] (6.4%) | Deezer: 260 | MusicBrainz: 0 | Not found: 791   
  [1101/16422] (6.7%) | Deezer: 272 | MusicBrainz: 0 | Not found: 829   
  [1151/16422] (7.0%) | Deezer: 284 | MusicBrainz: 0 | Not found: 867   
  [1201/16422] (7.3%) | Deezer: 292 | MusicBrainz: 0 | Not found: 909   
  [1251/16422] (7.6%) | Deezer: 309 | MusicBrainz: 0 | Not found: 942   
  [1301/16422] (7.9%) | Deezer: 318 | MusicBrainz: 0 | Not found: 983   
  [1351/16422] (8.2%) | Deezer: 331 | MusicBrainz: 0 | Not found: 1020   
  [1401/16422] (8.5%) | Deezer: 338 | MusicBrainz: 0 | Not found: 1063   
  [1451/16422] (8.8%) | Deezer: 352 | MusicBrainz: 0 | Not found: 1099   
  [1501/16422] (9.1%) | Deezer: 362 | MusicBrainz: 0 | Not found: 1139   
  [1551/16422] (9.4%) | Deezer: 380 | MusicBrainz: 0 | Not found: 1171   
  [1601/16422] (9.7%) | Deezer: 393 | MusicBrainz: 0 | Not found: 1208   
  [1651/16422] (10.1%) | Deezer: 402 | MusicBrainz: 0 | Not found: 1249   
  [1701/16422] (10.4%) | Deezer: 414 | MusicBrainz: 0 | Not found: 1287   
  [1751/16422] (10.7%) | Deezer: 434 | MusicBrainz: 0 | Not found: 1317   
  [1801/16422] (11.0%) | Deezer: 448 | MusicBrainz: 0 | Not found: 1353   
  [1851/16422] (11.3%) | Deezer: 459 | MusicBrainz: 0 | Not found: 1392   
