
=== Gigantic Scraper — 2026-04-20T19:18:32.894Z ===

=== Gigantic Scraper — 2026-04-20T19:19:20.920Z ===

=== Gigantic Scraper — 2026-04-20T19:20:16.513Z ===

=== Gigantic Scraper — 2026-04-20T19:21:44.445Z ===

=== Gigantic Scraper — 2026-04-20T19:24:30.824Z ===
  [Noah Kahan] @ Truck, Oxford — 2026-04-21
  [Joshua Idehen] @ Rescue Rooms, Nottingham — 2026-04-21
  [Kate Ireland] @ Rescue Rooms, Nottingham — 2026-04-21
  [Jai Uttal] @ Union Chapel, London — 2026-04-21
  [Just Mustard] @ The Grove, Newcastle upon Tyne — 2026-04-21
  [Melody's Echo Chamber] @ Electric Ballroom, London — 2026-04-21
  [Skillet] @ O2 Academy Brixton, London — 2026-04-21
  [Storm Orchestra] @ O2 Academy Brixton, London — 2026-04-21
  [Cooper Alan] @ O2 Shepherd's Bush Empire, London — 2026-04-21
  [Ian Harrison] @ O2 Shepherd's Bush Empire, London — 2026-04-21
  [LYR] @ Squire Performing Arts Centre, Nottingham — 2026-04-21
  [Natalie Wildgoose] @ Squire Performing Arts Centre, Nottingham — 2026-04-21
  [Picture Parlour] @ Oslo, London — 2026-04-21
  [Aimee Fatale] @ Oslo, London — 2026-04-21
  [Seahaven] @ Nice N Sleazy, Glasgow — 2026-04-21
  [Carsick] @ Nice N Sleazy, Glasgow — 2026-04-21
  [Taylor Acorn] @ Slay, Glasgow — 2026-04-21
  [Boomslang] @ The Mist Rolling Inn, Nottingham — 2026-04-21
  [Stompy's Playground] @ The Jazz Cafe, London — 2026-04-21
  [Ailbhe Reddy] @ The Lexington, London — 2026-04-21
  [The Bros. Landreth] @ Wedgewood Rooms, Portsmouth — 2026-04-21
  [Begonia] @ Wedgewood Rooms, Portsmouth — 2026-04-21
  [Seb Lowe] @ The Sugarmill, Stoke-on-Trent — 2026-04-21
  [Imelda May] @ Epic Studios, Norwich — 2026-04-21
  [King King] @ Devizes Corn Exchange, Devizes — 2026-04-21
  [Ranagri] @ Cambridge Junction 2, Cambridge — 2026-04-21
  [BrokeNCYDE] @ The Bunkhouse, Swansea — 2026-04-22
  [Dot Dot Curve] @ The Bunkhouse, Swansea — 2026-04-22
  [Babar Luck] @ New Cross Inn, London — 2026-04-22
  [Le Mystère des Voix Bulgares] @ Union Chapel, London — 2026-04-22
  [Jethro Tull] @ Usher Hall, Edinburgh — 2026-04-22
  [Blue] @ Cliffs Pavilion, Southend On Sea — 2026-04-22
  [911] @ Cliffs Pavilion, Southend On Sea — 2026-04-22
  [Mina Simioni] @ Cliffs Pavilion, Southend On Sea — 2026-04-22
  [Mosimann] @ Colours, London — 2026-04-22
  [Dan Be] @ Colours, London — 2026-04-22
  [Neil Cowley] @ Firth Hall, Sheffield — 2026-04-22
  [Lusaint] @ Oslo, London — 2026-04-22
  [Party Cannon] @ The Grove, Newcastle upon Tyne — 2026-04-22
  [Internal Bleeding] @ The Grove, Newcastle upon Tyne — 2026-04-22
