
=== Ticketline Scraper — 2026-04-20T17:30:24.105Z ===
  [BARBARISM.] @ The Peer Hat, Manchester — 2026-05-01
  [BONES SHAKE] @ The Peer Hat, Manchester — 2026-05-01
  [MEAT BAGS] @ The Peer Hat, Manchester — 2026-05-01
  [MEMORIALS] @ Manchester The Castle Hotel, Manchester — 2026-05-01
  [Cat Clyde] @ Manchester Gullivers, Manchester — 2026-05-01
  [Chris Brain] @ Manchester Gullivers, Manchester — 2026-05-06
  [Chip Wickham] @ Manchester Band on the Wall, Manchester — 2026-04-20
  [Son Little] @ Manchester Band on the Wall, Manchester — 2026-04-21
  [Harry Baker - Tender (Evening show)] @ Manchester Band on the Wall, Manchester — 2026-04-22
  [LOVE with Johnny Echols] @ Manchester Band on the Wall, Manchester — 2026-04-23
  [Rosellas] @ Manchester Band on the Wall, Manchester — 2026-04-25
  [daoud] @ Manchester Band on the Wall, Manchester — 2026-04-26
  [Sari Schorr] @ Manchester Band on the Wall, Manchester — 2026-04-29
  [Odyssey] @ Manchester Band on the Wall, Manchester — 2026-04-30
  [EXTC] @ Manchester Band on the Wall, Manchester — 2026-05-01
  [Auntie Flo] @ Manchester Band on the Wall, Manchester — 2026-05-02
  [Lady Nade sings Nina Simone] @ Manchester Band on the Wall, Manchester — 2026-05-03
  [Kendra Morris] @ Manchester Band on the Wall, Manchester — 2026-05-06
  [Parlour Greens] @ Manchester Band on the Wall, Manchester — 2026-05-06
  [Taylor Williams] @ Manchester Band on the Wall, Manchester — 2026-05-06
  [Skinshape] @ Manchester Band on the Wall, Manchester — 2026-05-07
  [Harry Baker - Tender] @ Manchester Band on the Wall, Manchester — 2026-05-09
  [Bassekou Kouyate &amp; Amy Sacko] @ Manchester Band on the Wall, Manchester — 2026-05-14
  [Omar&#039;s &#039;Brighter The Day&#039; UK Tour] @ Manchester Band on the Wall, Manchester — 2026-05-15
  [After All Festival 2026] @ Manchester Band on the Wall, Manchester — 2026-05-16
  [Yellowjackets x MJF] @ Manchester Band on the Wall, Manchester — 2026-05-21
  [Bel Cobain x MJF] @ Manchester Band on the Wall, Manchester — 2026-05-22
  [Cotonete x MJF] @ Manchester Band on the Wall, Manchester — 2026-05-23
  [China Moses x MJF] @ Manchester Band on the Wall, Manchester — 2026-05-24
  [The Dave Weckl] @ Manchester Band on the Wall, Manchester — 2026-05-25
  [Tom Kennedy Project] @ Manchester Band on the Wall, Manchester — 2026-05-25
  [Fatherson] @ Manchester Band on the Wall, Manchester — 2026-05-29
  [John McCusker Trio] @ Manchester Band on the Wall, Manchester — 2026-06-01
  [Knats] @ Manchester The Copper Bar at Band on the Wall, Manchester — 2026-04-28
  [Kiioto (UK) feat. Lou Rhodes (LAMB)] @ Manchester The Copper Bar at Band on the Wall, Manchester — 2026-04-29
  [Evie Moran - Scenes from the Subconscious] @ Manchester The Copper Bar at Band on the Wall, Manchester — 2026-05-06
  [Somewhere Soul Club night x MJF] @ Manchester The Copper Bar at Band on the Wall, Manchester — 2026-05-23
  [Where Art Meets Indulgence - Afternoon Tea] @ Manchester Art Gallery, Manchester — 2026-05-01
  [Where Art Meets Indulgence - Afternoon Tea] @ Manchester Art Gallery, Manchester — 2026-05-01
  [Where Art Meets Indulgence - Afternoon Tea] @ Manchester Art Gallery, Manchester — 2026-05-02
  [Where Art Meets Indulgence - Afternoon Tea] @ Manchester Art Gallery, Manchester — 2026-05-02
  [Nadia Reid] @ Halle at St Michael&#039;s, Manchester — 2026-04-25
  [Belle Chen] @ Halle at St Michael&#039;s, Manchester — 2026-05-08
  [ROBERTO FONSECA III] @ Halle St Peter&#039;s, Manchester — 2026-05-10
  [Jerron Paxton] @ Halle St Peter&#039;s, Manchester — 2026-05-21
  [WONK UNIT] @ The Star &amp; Garter, Manchester — 2026-05-16
  [Nora Brown &amp; Stephanie Coleman] @ Manchester YES The Pink Room, Manchester — 2026-05-28
  [Charlie Parr] @ Manchester YES Basement, Manchester — 2026-05-25
  [Nubiyan Twist] @ Manchester New Century Hall, Manchester — 2026-04-24
  [O.] @ Manchester New Century Hall, Manchester — 2026-04-24
